"film","imdb_url",rating,timestamp,"backdated","directors",release_year,running_time
"Joe Versus the Volcano","http://www.imdb.com/title/tt0099892/",3,1220508057,"No","John Patrick Shanley",1990,102
"Jumanji","http://www.imdb.com/title/tt0113497/",3,1220508057,"No","Joe Johnston",1995,104
"Junebug","http://www.imdb.com/title/tt0418773/",4,1220508057,"No","Phil Morrison",2005,106
"Juno","http://www.imdb.com/title/tt0467406/",4,1220508057,"No","Jason Reitman",2007,96
"Jurassic Park","http://www.imdb.com/title/tt0107290/",3,1220508057,"No","Steven Spielberg",1993,127
"Jury Duty","http://www.imdb.com/title/tt0113500/",3,1220508057,"No","John Fortenberry",1995,88
"Just Cause","http://www.imdb.com/title/tt0113501/",2,1220508057,"No","Arne Glimcher",1995,102
"Keeping the Faith","http://www.imdb.com/title/tt0171433/",2,1220508057,"No","Edward Norton",2000,128
"Kids","http://www.imdb.com/title/tt0113540/",5,1220508057,"No","Larry Clark",1995,91
"Kids in the Hall: Brain Candy","http://www.imdb.com/title/tt0116768/",3,1220508057,"No","Kelly Makin",1996,89
"Kill Bill: Volume 1","http://www.imdb.com/title/tt0266697/",5,1220508057,"No","Quentin Tarantino",2003,111
"Kill Bill: Volume 2","http://www.imdb.com/title/tt0378194/",5,1220508057,"No","Quentin Tarantino",2004,136
"Kindergarten Cop","http://www.imdb.com/title/tt0099938/",2,1220508057,"No","Ivan Reitman",1990,111
"Kingpin","http://www.imdb.com/title/tt0116778/",3,1220508057,"No","Bobby Farrelly, Peter Farrelly",1996,113
"Knocked Up","http://www.imdb.com/title/tt0478311/",4,1220508057,"No","Judd Apatow",2007,129
"Kramer vs. Kramer","http://www.imdb.com/title/tt0079417/",3,1220508057,"No","Robert Benton",1979,105
"Kung Fu Panda","http://www.imdb.com/title/tt0441773/",3,1220508057,"No","Mark Osborne, John Stevenson",2008,92
"L.A. Confidential","http://www.imdb.com/title/tt0119488/",3,1220508057,"No","Curtis Hanson",1997,138
"L.I.E.","http://www.imdb.com/title/tt0242587/",3,1220508057,"No","Michael Cuesta",2001,97
"L'Avventura","http://www.imdb.com/title/tt0053619/",1,1220508057,"No","Michelangelo Antonioni",1960,141
"Lady in the Water","http://www.imdb.com/title/tt0452637/",1,1220508057,"No","M. Night Shyamalan",2006,110
"Lars and the Real Girl","http://www.imdb.com/title/tt0805564/",1,1220508057,"No","Craig Gillespie",2007,106
"Last Action Hero","http://www.imdb.com/title/tt0107362/",2,1220508057,"No","John McTiernan",1993,130
"Last Days","http://www.imdb.com/title/tt0403217/",3,1220508057,"No","Gus Van Sant",2005,97
"Leaving Las Vegas","http://www.imdb.com/title/tt0113627/",3,1220508057,"No","Mike Figgis",1995,111
"Legally Blonde","http://www.imdb.com/title/tt0250494/",3,1220508057,"No","Robert Luketic",2001,96
"Legends of the Fall","http://www.imdb.com/title/tt0110322/",3,1220508057,"No","Edward Zwick",1994,133
"Les Miserables","http://www.imdb.com/title/tt0119683/",3,1220508057,"No","Bille August",1998,134
"Liar Liar","http://www.imdb.com/title/tt0119528/",3,1220508057,"No","Tom Shadyac",1997,86
"License to Wed","http://www.imdb.com/title/tt0762114/",2,1220508057,"No","Ken Kwapis",2007,91
"Life With Mikey","http://www.imdb.com/title/tt0107413/",3,1220508057,"No","James Lapine",1993,91
"Little Big League","http://www.imdb.com/title/tt0110363/",3,1220508057,"No","Andrew Scheinman",1994,119
"Little Giants","http://www.imdb.com/title/tt0110364/",3,1220508057,"No","Duwayne Dunham",1994,107
"Little Miss Sunshine","http://www.imdb.com/title/tt0449059/",1,1220508057,"No","Jonathan Dayton, Valerie Faris",2006,101
"Lolita","http://www.imdb.com/title/tt0056193/",5,1220508057,"No","Stanley Kubrick",1962,152
"Look Who's Talking","http://www.imdb.com/title/tt0097778/",2,1220508057,"No","Amy Heckerling",1989,93
"Look Who's Talking Now","http://www.imdb.com/title/tt0107438/",1,1220508057,"No","Tom Ropelewski",1993,96
"Look Who's Talking Too","http://www.imdb.com/title/tt0100050/",1,1220508057,"No","Amy Heckerling",1990,81
"Lord of the Rings: The Fellowship of the Ring","http://www.imdb.com/title/tt0120737/",2,1220508057,"No","Peter Jackson",2001,178
"Lord of the Rings: The Two Towers","http://www.imdb.com/title/tt0167261/",2,1220508057,"No","Peter Jackson",2002,179
"Lorenzo's Oil","http://www.imdb.com/title/tt0104756/",5,1220508057,"No","George Miller",1992,129
"Loser","http://www.imdb.com/title/tt0217630/",2,1220508057,"No","Amy Heckerling",2000,98
"Lost and Found","http://www.imdb.com/title/tt0120836/",1,1220508057,"No","Jeff Pollack",1999,95
"Lost in Translation","http://www.imdb.com/title/tt0335266/",5,1220508057,"No","Sofia Coppola",2003,102
"LoudQuietLoud: A Film About The Pixies","http://www.imdb.com/title/tt0449121/",4,1220508057,"No","Steven Cantor, Matthew Galkin",2006,85
"Love Actually","http://www.imdb.com/title/tt0314331/",1,1220508057,"No","Richard Curtis",2003,135
"Love and Basketball","http://www.imdb.com/title/tt0199725/",2,1220508057,"No","Gina Prince-Bythewood",2000,124
"L'amour en fuite","http://www.imdb.com/title/tt0078771/",3,1220508057,"No","Francois Truffaut",1979,94
"Love Stinks","http://www.imdb.com/title/tt0188863/",1,1220508057,"No","Jeff Franklin",1999,94
"Lovely & Amazing","http://www.imdb.com/title/tt0258273/",5,1220508057,"No","Nicole Holofcener",2001,91
"M","http://www.imdb.com/title/tt0022100/",2,1220508057,"No","Fritz Lang",1931,117
"Mad City","http://www.imdb.com/title/tt0119592/",1,1220508057,"No","Costa-Gavras",1997,114
"Mad Hot Ballroom","http://www.imdb.com/title/tt0438205/",3,1220508057,"No","Marilyn Agrelo",2005,105
"Madagascar","http://www.imdb.com/title/tt0351283/",3,1220508057,"No","Eric Darnell, Tom McGrath",2005,86
"Made","http://www.imdb.com/title/tt0227005/",2,1220508057,"No","Jon Favreau",2001,95
"Magnolia","http://www.imdb.com/title/tt0175880/",5,1220508057,"No","Paul Thomas Anderson",1999,188
"Major League","http://www.imdb.com/title/tt0097815/",2,1220508057,"No","David S. Ward",1989,107
"Major Payne","http://www.imdb.com/title/tt0110443/",3,1220508057,"No","Nick Castle",1995,95
"Mallrats","http://www.imdb.com/title/tt0113749/",5,1220508057,"No","Kevin Smith",1995,94
"Man of the House","http://www.imdb.com/title/tt0113755/",2,1220508057,"No","James Orr",1995,96
"Man on Fire","http://www.imdb.com/title/tt0328107/",4,1220508057,"No","Tony Scott",2004,146
"Man on the Moon","http://www.imdb.com/title/tt0125664/",4,1220508057,"No","Milos Forman",1999,118
"Manhattan","http://www.imdb.com/title/tt0079522/",5,1220508057,"No","Woody Allen",1979,96
"Manhunter","http://www.imdb.com/title/tt0091474/",2,1220508057,"No","Michael Mann",1986,119
"Marie Antoinette","http://www.imdb.com/title/tt0422720/",4,1220508057,"No","Sofia Coppola",2006,123
"Mars Attacks!","http://www.imdb.com/title/tt0116996/",3,1220508057,"No","Tim Burton",1996,106
"Master and Commander: The Far Side of the World","http://www.imdb.com/title/tt0311113/",1,1220508057,"No","Peter Weir",2003,138
"Match Point","http://www.imdb.com/title/tt0416320/",3,1220508057,"No","Woody Allen",2005,124
"Matchstick Men","http://www.imdb.com/title/tt0325805/",1,1220508057,"No","Ridley Scott",2003,116
"Matilda","http://www.imdb.com/title/tt0117008/",3,1220508057,"No","Danny DeVito",1996,98
"Matthew Barney: No Restraint","http://www.imdb.com/title/tt0481574/",3,1220508057,"No","Alison Chernick",2006,72
"Me and You and Everyone We Know","http://www.imdb.com/title/tt0415978/",4,1220508057,"No","Miranda July",2005,91
"Me, Myself & Irene","http://www.imdb.com/title/tt0183505/",2,1220508057,"No","Bobby Farrelly, Peter Farrelly",2000,116
"Mean Girls","http://www.imdb.com/title/tt0377092/",4,1220508057,"No","Mark Waters",2004,97
"Mean Streets","http://www.imdb.com/title/tt0070379/",3,1220508057,"No","Martin Scorsese",1973,112
"Meet Joe Black","http://www.imdb.com/title/tt0119643/",3,1220508057,"No","Martin Brest",1998,178
"Meet the Parents","http://www.imdb.com/title/tt0212338/",3,1220508057,"No","Jay Roach",2000,108
"Meet the Robinsons","http://www.imdb.com/title/tt0396555/",2,1220508057,"No","Stephen J. Anderson",2007,95
"Memento","http://www.imdb.com/title/tt0209144/",3,1220508057,"No","Christopher Nolan",2000,113
"Memoirs of a Geisha","http://www.imdb.com/title/tt0397535/",1,1220508057,"No","Rob Marshall",2005,145
"Men in Black","http://www.imdb.com/title/tt0119654/",3,1220508057,"No","Barry Sonnenfeld",1997,98
"Men of Honor","http://www.imdb.com/title/tt0203019/",1,1220508057,"No","George Tillman Jr.",2000,129
"Metro","http://www.imdb.com/title/tt0119664/",1,1220508057,"No","Thomas Carter",1997,117
"Michael","http://www.imdb.com/title/tt0117038/",2,1220508057,"No","Nora Ephron",1996,105
"Michael Clayton","http://www.imdb.com/title/tt0465538/",3,1220508057,"No","Tony Gilroy",2007,119
"Mickey Blue Eyes","http://www.imdb.com/title/tt0130121/",3,1220508057,"No","Kelly Makin",1999,102
"Midnight Cowboy","http://www.imdb.com/title/tt0064665/",4,1220508057,"No","John Schlesinger",1969,113
"Mighty Aphrodite","http://www.imdb.com/title/tt0113819/",2,1220508057,"No","Woody Allen",1995,95
"Million Dollar Baby","http://www.imdb.com/title/tt0405159/",1,1220508057,"No","Clint Eastwood",2004,132
"Minority Report","http://www.imdb.com/title/tt0181689/",3,1220508057,"No","Steven Spielberg",2002,145
"Miss Congeniality","http://www.imdb.com/title/tt0212346/",3,1220508057,"No","Donald Petrie",2000,109
"Mission: Impossible","http://www.imdb.com/title/tt0117060/",3,1220508057,"No","Brian De Palma",1996,110
"Mission: Impossible 2","http://www.imdb.com/title/tt0120755/",1,1220508057,"No","John Woo",2000,123
"Mom and Dad Save the World","http://www.imdb.com/title/tt0104905/",2,1220508057,"No","Greg Beeman",1992,88
"Mommie Dearest","http://www.imdb.com/title/tt0082766/",3,1220508057,"No","Frank Perry",1981,129
"Money Talks","http://www.imdb.com/title/tt0119695/",3,1220508057,"No","Brett Ratner",1997,97
"Monster","http://www.imdb.com/title/tt0340855/",3,1220508057,"No","Patty Jenkins",2003,109
"Monster's Ball","http://www.imdb.com/title/tt0285742/",3,1220508057,"No","Marc Forster",2001,111
"Monsters, Inc.","http://www.imdb.com/title/tt0198781/",3,1220508057,"No","Pete Docter, David Silverman, Lee Unkrich",2001,92
"Monty Python and the Holy Grail","http://www.imdb.com/title/tt0071853/",1,1220508057,"No","Terry Gilliam, Terry Jones",1975,91
"Moonlight Mile","http://www.imdb.com/title/tt0179098/",3,1220508057,"No","Brad Silberling",2002,146
"Moonstruck","http://www.imdb.com/title/tt0093565/",1,1220508057,"No","Norman Jewison",1987,102
"Moulin Rouge!","http://www.imdb.com/title/tt0203009/",5,1220508057,"No","Baz Luhrmann",2001,127
"Mr. Baseball","http://www.imdb.com/title/tt0104926/",3,1220508057,"No","Fred Schepisi",1992,108
"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr.","http://www.imdb.com/title/tt0192335/",3,1220508057,"No","Errol Morris",1999,91
"Mr. Deeds","http://www.imdb.com/title/tt0280590/",3,1220508057,"No","Steven Brill",2002,96
"Mr. Holland's Opus","http://www.imdb.com/title/tt0113862/",2,1220508057,"No","Stephen Herek",1995,143
"Mrs. Doubtfire","http://www.imdb.com/title/tt0107614/",3,1220508057,"No","Chris Columbus",1993,125
"Mulholland Dr.","http://www.imdb.com/title/tt0166924/",1,1220508057,"No","David Lynch",2001,147
"Multiplicity","http://www.imdb.com/title/tt0117108/",3,1220508057,"No","Harold Ramis",1996,117
"Murder by Numbers","http://www.imdb.com/title/tt0264935/",1,1220508057,"No","Barbet Schroeder",2002,120
"Murderball","http://www.imdb.com/title/tt0436613/",3,1220508057,"No","Henry Alex Rubin, Dana Adam Shapiro",2005,85
"Muriel's Wedding","http://www.imdb.com/title/tt0110598/",2,1220508057,"No","P.J. Hogan",1994,106
"My Big Fat Greek Wedding","http://www.imdb.com/title/tt0259446/",3,1220508057,"No","Joel Zwick",2002,95
"My Blue Heaven","http://www.imdb.com/title/tt0100212/",3,1220508057,"No","Herbert Ross",1990,97
"My Cousin Vinny","http://www.imdb.com/title/tt0104952/",3,1220508057,"No","Jonathan Lynn",1992,120
"My Father the Hero","http://www.imdb.com/title/tt0110612/",5,1220508057,"No","Steve Miner",1994,90
"My Giant","http://www.imdb.com/title/tt0120765/",2,1220508057,"No","Michael Lehmann",1998,103
"My Girl","http://www.imdb.com/title/tt0102492/",2,1220508057,"No","Howard Zieff",1991,102
"My Left Foot","http://www.imdb.com/title/tt0097937/",3,1220508057,"No","Jim Sheridan",1989,103
"Mystic River","http://www.imdb.com/title/tt0327056/",3,1220508057,"No","Clint Eastwood",2003,137
"Napoleon Dynamite","http://www.imdb.com/title/tt0374900/",4,1220508057,"No","Jared Hess",2004,82
"Narc","http://www.imdb.com/title/tt0272207/",4,1220508057,"No","Joe Carnahan",2002,105
"National Lampoon's Christmas Vacation","http://www.imdb.com/title/tt0097958/",4,1220508057,"No","Jeremiah S. Chechik",1989,97
"National Lampoon's European Vacation","http://www.imdb.com/title/tt0089670/",3,1220508057,"No","Amy Heckerling",1985,95
"National Lampoon's Senior Trip","http://www.imdb.com/title/tt0113936/",2,1220508057,"No","Kelly Makin",1995,91
"National Lampoon's Van Wilder","http://www.imdb.com/title/tt0283111/",2,1220508057,"No","Walt Becker",2002,92
"Natural Born Killers","http://www.imdb.com/title/tt0110632/",5,1220508057,"No","Oliver Stone",1994,118
"Network","http://www.imdb.com/title/tt0074958/",2,1220508057,"No","Sidney Lumet",1976,121
"New York Minute","http://www.imdb.com/title/tt0363282/",1,1220508057,"No","Dennie Gordon",2004,91
"Next Friday","http://www.imdb.com/title/tt0195945/",1,1220508057,"No","Steve Carr",2000,98
"Night Shift","http://www.imdb.com/title/tt0084412/",2,1220508057,"No","Ron Howard",1982,106
"Nine Months","http://www.imdb.com/title/tt0113986/",3,1220508057,"No","Chris Columbus",1995,103
"Nineteen Eighty-Four","http://www.imdb.com/title/tt0087803/",1,1220508057,"No","Michael Radford",1984,113
"No Country for Old Men","http://www.imdb.com/title/tt0477348/",3,1220508057,"No","Ethan Coen, Joel Coen",2007,122
"No End In Sight","http://www.imdb.com/title/tt0912593/",3,1220508057,"No","Charles Ferguson",2007,102
"Nosferatu","http://www.imdb.com/title/tt0013442/",2,1220508057,"No","F.W. Murnau",2001,94
"Not Another Teen Movie","http://www.imdb.com/title/tt0277371/",4,1220508057,"No","Joel Gallen",2001,89
"Notes on a Scandal","http://www.imdb.com/title/tt0465551/",3,1220508057,"No","Richard Eyre",2006,92
"Notting Hill","http://www.imdb.com/title/tt0125439/",3,1220508057,"No","Roger Michell",1999,124
"Now and Then","http://www.imdb.com/title/tt0114011/",3,1220508057,"No","Lesli Linka Glatter",1995,100
"Nurse Betty","http://www.imdb.com/title/tt0171580/",1,1220508057,"No","Neil LaBute",2000,110
"Nutty Professor II: The Klumps","http://www.imdb.com/title/tt0144528/",1,1220508057,"No","Peter Segal",2000,106
"O Brother, Where Art Thou?","http://www.imdb.com/title/tt0190590/",4,1220508057,"No","Joel Coen",2000,106
"Object of My Affection","http://www.imdb.com/title/tt0120772/",5,1220508057,"No","Nicholas Hytner",1998,111
"Ocean's Eleven","http://www.imdb.com/title/tt0240772/",3,1220508057,"No","Steven Soderbergh",2001,116
"Office Space","http://www.imdb.com/title/tt0151804/",4,1220508057,"No","Mike Judge",1999,89
"Old School","http://www.imdb.com/title/tt0302886/",3,1220508057,"No","Todd Phillips",2003,91
"Once Upon a Time in America","http://www.imdb.com/title/tt0087843/",5,1220508057,"No","Sergio Leone",1984,229
"Once Upon a Time in Mexico","http://www.imdb.com/title/tt0285823/",1,1220508057,"No","Robert Rodriguez",2003,102
"One Fine Day","http://www.imdb.com/title/tt0117247/",5,1220508057,"No","Michael Hoffman",1996,108
"One Flew Over the Cuckoo's Nest","http://www.imdb.com/title/tt0073486/",3,1220508057,"No","Milos Forman",1975,133
"One Hundred and One Dalmatians","http://www.imdb.com/title/tt0055254/",5,1220508057,"No","Clyde Geronimi, Hamilton Luske, Wolfgang Reitherman",1961,79
"Open Water","http://www.imdb.com/title/tt0374102/",3,1220508057,"No","Chris Kentis",2003,79
"Original Sin","http://www.imdb.com/title/tt0218922/",2,1220508057,"No","Michael Cristofer",2001,116
"Osama","http://www.imdb.com/title/tt0368913/",3,1220508057,"No","Siddiq Barmak",2003,83
"Out of Sight","http://www.imdb.com/title/tt0120780/",3,1220508057,"No","Steven Soderbergh",1998,123
"Outbreak","http://www.imdb.com/title/tt0114069/",3,1220508057,"No","Wolfgang Petersen",1995,127
"Palindromes","http://www.imdb.com/title/tt0362004/",2,1220508057,"No","Todd Solondz",2004,100
"Panic Room","http://www.imdb.com/title/tt0258000/",3,1220508057,"No","David Fincher",2002,112
"Paradise Lost 2: Revelations","http://www.imdb.com/title/tt0239894/",3,1220508057,"No","Joe Berlinger, Bruce Sinofsky",2000,130
"Paradise Lost: The Child Murders at Robin Hood Hills","http://www.imdb.com/title/tt0117293/",3,1220508057,"No","Joe Berlinger, Bruce Sinofsky",1996,150
"Party Monster","http://www.imdb.com/title/tt0320244/",2,1220508057,"No","Fenton Bailey, Randy Barbato",2003,98
"Passenger 57","http://www.imdb.com/title/tt0105104/",2,1220508057,"No","Kevin Hooks",1992,84
"Patch Adams","http://www.imdb.com/title/tt0129290/",3,1220508057,"No","Tom Shadyac",1998,115
"Pay it Forward","http://www.imdb.com/title/tt0223897/",1,1220508057,"No","Mimi Leder",2000,123
"Payback","http://www.imdb.com/title/tt0120784/",2,1220508057,"No","Brian Helgeland",1999,100
"PCU","http://www.imdb.com/title/tt0110759/",3,1220508057,"No","Hart Bochner",1994,79
"Pearl Harbor","http://www.imdb.com/title/tt0213149/",1,1220508057,"No","Michael Bay",2001,183
"Pecker","http://www.imdb.com/title/tt0126604/",1,1220508057,"No","John Waters",1998,87
"Pee Wee's Big Adventure","http://www.imdb.com/title/tt0089791/",3,1220508057,"No","Tim Burton",1985,90
"Phenomenon","http://www.imdb.com/title/tt0117333/",3,1220508057,"No","Jon Turteltaub",1996,123
"Phone Booth","http://www.imdb.com/title/tt0183649/",2,1220508057,"No","Joel Schumacher",2002,81
"Pi","http://www.imdb.com/title/tt0138704/",3,1220508057,"No","Darren Aronofsky",1998,84
"Picture Perfect","http://www.imdb.com/title/tt0119896/",2,1220508057,"No","Glenn Gordon Caron",1997,105
"Pieces of April","http://www.imdb.com/title/tt0311648/",3,1220508057,"No","Peter Hedges",2003,80
"Pirates of the Caribbean: At Worlds End","http://www.imdb.com/title/tt0449088/",2,1220508057,"No","Gore Verbinski",2007,169
"Pirates of the Caribbean: The Curse of the Black Pearl","http://www.imdb.com/title/tt0325980/",2,1220508057,"No","Gore Verbinski",2003,143
"Planet B-Boy","http://www.imdb.com/title/tt0770796/",3,1220508057,"No","Benson Lee",2007,95
"Planet of the Apes","http://www.imdb.com/title/tt0133152/",2,1220508057,"No","Tim Burton",2001,119
"Pleasantville","http://www.imdb.com/title/tt0120789/",3,1220508057,"No","Gary Ross",1998,124
"Poetic Justice","http://www.imdb.com/title/tt0107840/",3,1220508057,"No","John Singleton",1993,109
"Point Break","http://www.imdb.com/title/tt0102685/",5,1220508057,"No","Kathryn Bigelow",1991,120
"Pollock","http://www.imdb.com/title/tt0183659/",4,1220508057,"No","Ed Harris",2000,122
"Poltergeist","http://www.imdb.com/title/tt0084516/",3,1220508057,"No","Tobe Hooper",1982,114
"Practical Magic","http://www.imdb.com/title/tt0120791/",3,1220508057,"No","Griffin Dunne",1998,103
"Prefontaine","http://www.imdb.com/title/tt0119937/",2,1220508057,"No","Steve James",1997,106
"Pretty Persuasion","http://www.imdb.com/title/tt0381505/",3,1220508057,"No","Marcos Siega",2005,104
"Pretty Woman","http://www.imdb.com/title/tt0100405/",3,1220508057,"No","Garry Marshall",1990,119
"Primary Colors","http://www.imdb.com/title/tt0119942/",3,1220508057,"No","Mike Nichols",1998,143
"Private Parts","http://www.imdb.com/title/tt0119951/",3,1220508057,"No","Betty Thomas",1997,109
"Private School","http://www.imdb.com/title/tt0086143/",1,1220508057,"No","Noel Black",1983,97
"Problem Child","http://www.imdb.com/title/tt0100419/",2,1220508057,"No","Dennis Dugan",1990,81
"Pulp Fiction","http://www.imdb.com/title/tt0110912/",5,1220508057,"No","Quentin Tarantino",1994,154
"Pumpkin","http://www.imdb.com/title/tt0265591/",3,1220508057,"No","Anthony Abrams, Adam Larson Broder",2002,113
"Punch-Drunk Love","http://www.imdb.com/title/tt0272338/",5,1220508057,"No","Paul Thomas Anderson",2002,95
"Quills","http://www.imdb.com/title/tt0180073/",4,1220508057,"No","Philip Kaufman",2000,124
"Raging Bull","http://www.imdb.com/title/tt0081398/",3,1220508057,"No","Martin Scorsese",1980,129
"Raiders of the Lost Ark","http://www.imdb.com/title/tt0082971/",3,1220508057,"No","Steven Spielberg",1981,115
"Ransom","http://www.imdb.com/title/tt0117438/",3,1220508057,"No","Ron Howard",1996,121
"Rat Race","http://www.imdb.com/title/tt0250687/",2,1220508057,"No","Jerry Zucker",2001,112
"Ray","http://www.imdb.com/title/tt0350258/",3,1220508057,"No","Taylor Hackford",2004,152
"Reality Bites","http://www.imdb.com/title/tt0110950/",1,1220508057,"No","Ben Stiller",1994,99
"Rebel Without a Cause","http://www.imdb.com/title/tt0048545/",5,1220508057,"No","Nicholas Ray",1955,111
"Remember the Titans","http://www.imdb.com/title/tt0210945/",2,1220508057,"No","Boaz Yakin",2000,113
"Renaissance Man","http://www.imdb.com/title/tt0110971/",2,1220508057,"No","Penny Marshall",1994,128
"Reno 911!: Miami","http://www.imdb.com/title/tt0499554/",2,1220508057,"No","Robert Ben Garant",2007,84
"Requiem for a Dream","http://www.imdb.com/title/tt0180093/",3,1220508057,"No","Darren Aronofsky",2000,102
"Reservoir Dogs","http://www.imdb.com/title/tt0105236/",4,1220508057,"No","Quentin Tarantino",1992,99
"Revenge of the Nerds","http://www.imdb.com/title/tt0088000/",3,1220508057,"No","Jeff Kanew",1984,90
"Richie Rich","http://www.imdb.com/title/tt0110989/",2,1220508057,"No","Donald Petrie",1994,95
"Rising Sun","http://www.imdb.com/title/tt0107969/",2,1220508057,"No","Philip Kaufman",1993,125
"Risky Business","http://www.imdb.com/title/tt0086200/",3,1220508057,"No","Paul Brickman",1983,98
"Road Trip","http://www.imdb.com/title/tt0215129/",3,1220508057,"No","Todd Phillips",2000,93
"Robin Hood: Men in Tights","http://www.imdb.com/title/tt0107977/",3,1220508057,"No","Mel Brooks",1993,104
"Rock Star","http://www.imdb.com/title/tt0202470/",2,1220508057,"No","Stephen Herek",2001,105
"Rocket Science","http://www.imdb.com/title/tt0477078/",3,1220508057,"No","Jeffrey Blitz",2007,101
"Rocky","http://www.imdb.com/title/tt0075148/",3,1220508057,"No","John G. Avildsen",1976,119
"Roger & Me","http://www.imdb.com/title/tt0098213/",3,1220508057,"No","Michael Moore",1989,91
"Roger Dodger","http://www.imdb.com/title/tt0299117/",3,1220508057,"No","Dylan Kidd",2002,106
"Romeo + Juliet","http://www.imdb.com/title/tt0117509/",5,1220508057,"No","Baz Luhrmann",1996,120
"Romy and Michelle's High School Reunion","http://www.imdb.com/title/tt0120032/",3,1220508057,"No","David Mirkin",1997,92
"Rookie of the Year","http://www.imdb.com/title/tt0107985/",2,1220508057,"No","Daniel Stern",1993,103
"Rounders","http://www.imdb.com/title/tt0128442/",5,1220508057,"No","John Dahl",1998,121
"Roxanne","http://www.imdb.com/title/tt0093886/",3,1220508057,"No","Fred Schepisi",1987,107
"Rudy","http://www.imdb.com/title/tt0108002/",3,1220508057,"No","David Anspaugh",1993,116
"Rules of Engagement","http://www.imdb.com/title/tt0160797/",2,1220508057,"No","William Friedkin",2000,128
"Run Fatboy Run","http://www.imdb.com/title/tt0425413/",2,1220508057,"No","David Schwimmer",2007,100
"Runaway Jury","http://www.imdb.com/title/tt0313542/",1,1220508057,"No","Gary Fleder",2003,127
"Rush Hour","http://www.imdb.com/title/tt0120812/",3,1220508057,"No","Brett Ratner",1998,98
"Rush Hour 2","http://www.imdb.com/title/tt0266915/",2,1220508057,"No","Brett Ratner",2001,90
"Rushmore","http://www.imdb.com/title/tt0128445/",3,1220508057,"No","Wes Anderson",1998,93
"Sabrina","http://www.imdb.com/title/tt0114319/",5,1220508057,"No","Sydney Pollack",1995,127
"Sarah Silverman: Jesus is Magic","http://www.imdb.com/title/tt0422528/",3,1220508057,"No","Liam Lynch",2005,72
"Saturday Night Fever","http://www.imdb.com/title/tt0076666/",3,1220508057,"No","John Badham",1977,118
"Save the Last Dance","http://www.imdb.com/title/tt0206275/",2,1220508057,"No","Thomas Carter",2001,112
"Saved!","http://www.imdb.com/title/tt0332375/",3,1220508057,"No","Brian Dannelly",2004,92
"Saving Private Ryan","http://www.imdb.com/title/tt0120815/",4,1220508057,"No","Steven Spielberg",1998,170
"Saving Silverman","http://www.imdb.com/title/tt0239948/",3,1220508057,"No","Dennis Dugan",2001,90
"Saw","http://www.imdb.com/title/tt0387564/",2,1220508057,"No","James Wan",2004,103
"Scarface","http://www.imdb.com/title/tt0086250/",4,1220508057,"No","Brian De Palma",1983,170
"Scary Movie","http://www.imdb.com/title/tt0175142/",3,1220508057,"No","Keenen Ivory Wayans",2000,88
"Scary Movie 2","http://www.imdb.com/title/tt0257106/",2,1220508057,"No","Keenen Ivory Wayans",2001,83
"Scary Movie 3","http://www.imdb.com/title/tt0306047/",1,1220508057,"No","David Zucker",2003,84
"Scent of a Woman","http://www.imdb.com/title/tt0105323/",3,1220508057,"No","Martin Brest",1992,157
"Schindler's List","http://www.imdb.com/title/tt0108052/",4,1220508057,"No","Steven Spielberg",1993,195
"School Ties","http://www.imdb.com/title/tt0105327/",3,1220508057,"No","Robert Mandel",1992,106
"Scooby-Doo","http://www.imdb.com/title/tt0267913/",2,1220508057,"No","Raja Gosnell",2002,88
"Scratch","http://www.imdb.com/title/tt0143861/",3,1220508057,"No","Doug Pray",2001,92
"Scream","http://www.imdb.com/title/tt0117571/",4,1220508057,"No","Wes Craven",1996,111
"Scream 2","http://www.imdb.com/title/tt0120082/",1,1220508057,"No","Wes Craven",1997,120
"Scream 3","http://www.imdb.com/title/tt0134084/",1,1220508057,"No","Wes Craven",2000,116
"Screwed","http://www.imdb.com/title/tt0156323/",2,1220508057,"No","Scott Alexander, Larry Karaszewski",2000,81
"Scrooged","http://www.imdb.com/title/tt0096061/",3,1220508057,"No","Richard Donner",1988,101
"Se7en","http://www.imdb.com/title/tt0114369/",5,1220508057,"No","David Fincher",1995,127
"Seabiscuit","http://www.imdb.com/title/tt0329575/",3,1220508057,"No","Gary Ross",2003,141
"Secretary","http://www.imdb.com/title/tt0274812/",4,1220508057,"No","Steven Shainberg",2002,104
"Senseless","http://www.imdb.com/title/tt0120820/",1,1220508057,"No","Penelope Spheeris",1998,92
"Serendipity","http://www.imdb.com/title/tt0240890/",2,1220508057,"No","Peter Chelsom",2001,90
"Sex and the City","http://www.imdb.com/title/tt1000774/",3,1220508057,"No","Michael Patrick King",2008,145
"Sex, Lies and Videotape","http://www.imdb.com/title/tt0098724/",5,1220508057,"No","Steven Soderbergh",1989,100
"Sexy Beast","http://www.imdb.com/title/tt0203119/",5,1220508057,"No","Jonathan Glazer",2000,89
"Shadow of the Vampire","http://www.imdb.com/title/tt0189998/",3,1220508057,"No","E. Elias Merhige",2000,92
"Shaft","http://www.imdb.com/title/tt0162650/",2,1220508057,"No","John Singleton",2000,99
"Shakespeare in Love","http://www.imdb.com/title/tt0138097/",3,1220508057,"No","John Madden",1998,123
